2021/07/14 05:10:01.652357 [INFO] Log Publish not set, skipping...
2021/07/14 05:30:01.700194 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 05:30:01.700567 [INFO] Log Publish not set, skipping...
2021/07/14 05:50:01.776050 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 05:50:01.776357 [INFO] Log Publish not set, skipping...
2021/07/14 06:10:01.948813 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 06:10:01.949119 [INFO] Log Publish not set, skipping...
2021/07/14 06:30:02.000996 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 06:30:02.001296 [INFO] Log Publish not set, skipping...
2021/07/14 06:50:01.053629 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 06:50:01.054025 [INFO] Log Publish not set, skipping...
2021/07/14 07:10:01.192613 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 07:10:01.192924 [INFO] Log Publish not set, skipping...
2021/07/14 07:30:01.240016 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 07:30:01.240317 [INFO] Log Publish not set, skipping...
2021/07/14 07:50:01.292324 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 07:50:01.292613 [INFO] Log Publish not set, skipping...
2021/07/14 08:10:01.432458 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 08:10:01.433346 [INFO] Log Publish not set, skipping...
2021/07/14 08:30:01.480100 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 08:30:01.480405 [INFO] Log Publish not set, skipping...
2021/07/14 08:50:01.527632 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 08:50:01.527993 [INFO] Log Publish not set, skipping...
2021/07/14 09:10:01.680766 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 09:10:01.681071 [INFO] Log Publish not set, skipping...
2021/07/14 09:30:01.724216 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 09:30:01.724524 [INFO] Log Publish not set, skipping...
2021/07/14 09:50:01.771463 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 09:50:01.771759 [INFO] Log Publish not set, skipping...
2021/07/14 10:10:01.963876 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 10:10:01.964186 [INFO] Log Publish not set, skipping...
2021/07/14 10:30:02.014974 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 10:30:02.015296 [INFO] Log Publish not set, skipping...
2021/07/14 10:50:01.057617 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 10:50:01.061677 [INFO] Log Publish not set, skipping...
2021/07/14 11:10:01.201781 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 11:10:01.206726 [INFO] Log Publish not set, skipping...
2021/07/14 11:30:01.248906 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 11:30:01.249199 [INFO] Log Publish not set, skipping...
2021/07/14 11:50:01.296002 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 11:50:01.296307 [INFO] Log Publish not set, skipping...
2021/07/14 12:10:01.444843 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 12:10:01.445145 [INFO] Log Publish not set, skipping...
2021/07/14 12:30:01.496949 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 12:30:01.497272 [INFO] Log Publish not set, skipping...
2021/07/14 12:50:01.554188 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 12:50:01.554581 [INFO] Log Publish not set, skipping...
2021/07/14 13:10:01.728052 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 13:10:01.728346 [INFO] Log Publish not set, skipping...
2021/07/14 13:30:01.776763 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 13:30:01.777068 [INFO] Log Publish not set, skipping...
2021/07/14 13:50:01.824557 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 13:50:01.824851 [INFO] Log Publish not set, skipping...
2021/07/14 14:10:01.052750 [INFO] no eb envtier info file found, skip loading env tier info.
2021/07/14 14:10:01.053053 [INFO] Log Publish not set, skipping...
